message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.851943270";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.839438233";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.835644615";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.832590923";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.823980346";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.820311122";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.817181461";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.807600276";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.803913433";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.800733115";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.791232280";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.787633252";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.785237488";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.775916964";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.772240585";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.768744498";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.759434537";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.755859392";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.752259447";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.743949893";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.739432582";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.736566709";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.727525235";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.724039787";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.720700281";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.712053414";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.707735493";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.705004237";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.695669444";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.692241555";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.688498834";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.679286420";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.675878674";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.673032153";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.663002207";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim3.sim";"1759455186.659570381";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.656684702";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim2.sim";"1759455186.647653039";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.144445, y=5.544445])";"30";"turtlesim3.sim";"1759455186.643724096";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.200889, y=5.544445])";"30";"turtlesim1.sim";"1759455186.641051048";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.144445, y=5.544445])";"30";"turtlesim2.sim";"1759455186.631971399";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.144445, y=5.544445])";"30";"turtlesim1.sim";"1759455186.625095158";"./src/turtle.cpp:update:260"
